,_id,barcode,category,name,topBrand,brandCode,cpg.$ref,cpg.$id.$oid
131,57ebbd44e4b0ac389136a32d,511111002208,Condiments & Sauces,Bull's Eye,0.0,BULL'S-EYE,Cogs,559c2234e4b06aca36af13c6
132,592486bee410d61fcea3d12f,511111600794,Frozen,KLONDIKE,0.0,KLONDIKE,Cogs,5332f5f6e4b03c9a25efd0b4
133,592486bee410d61fcea3d12a,511111600848,Frozen,FRUTTARE,,FRUTTARE,Cogs,53e10d6368abd3c7065097cc
134,5da60576a60b87376833e349,511111305569,Health & Wellness,AFRIN® NO DRIP PUMP MISTS,,511111305569,Cogs,53e10d6368abd3c7065097cc
135,5332f5f5e4b03c9a25efd0b0,511111404002,,Betty Crocker,,,Cpgs,5332f5f3e4b03c9a25efd0ae
136,580dff9fe4b0f32b2de21382,511111701859,Baking,Knox Gelatin,0.0,KNOX,Cogs,559c2234e4b06aca36af13c6
137,5da608131dda2c3e1416ae8a,511111505716,Health & Wellness,Claritin® ADULTS,,511111505716,Cogs,53e10d6368abd3c7065097cc
138,588b9f8fe4b02187f85cdada,511111501107,Snacks,Planters,0.0,PLANTERS,Cogs,559c2234e4b06aca36af13c6
139,592486bde410d61fcea3d127,511111800873,Personal Care,DEGREE,0.0,DEGREE,Cogs,5332f5f6e4b03c9a25efd0b4
140,5a4d23dae4b0bcb2c74ea77e,511111000518,Beverages,Caleb's Kola,0.0,CALEB'S KOLA,Cogs,5332f5fbe4b03c9a25efd0ba
141,5d66dc946d5f3b6188d4f04e,511111305408,Beverages,Lemon Lemon Sparkling Drinks,,LEMON LEMON,Cogs,5332f5fbe4b03c9a25efd0ba
142,592486bfe410d61fcea3d140,511111300656,Personal Care,VASELINE,0.0,VASELINE,Cogs,5332f5f6e4b03c9a25efd0b4
143,5d658ff3a3a018514994f432,511111005216,Magazines,Cooking Light Magazine,,511111005216,Cogs,53e10d6368abd3c7065097cc
144,5fcda494be37ce688e08b0cc,511111817932,Baking,test brand @1607312532178,0.0,TEST BRANDCODE @1607312532178,Cogs,5fcda494be37ce688e08b0cb
145,5ef4f667be37ce2efae842ea,511111715047,Cleaning & Home Improvement,Pinesol,,PINESOL,Cogs,5eebc5412455c97a877ef382
146,55b6308ee4b0d8e685c1421a,511111202677,,Snapple,,,Cogs,55b62995e4b0d8e685c14213
147,5332f760e4b03c9a25efd11b,511111603719,,Honest Ade,,,Cpgs,5332f5ebe4b03c9a25efd0a8
148,5f16f536be37ce2b30061e29,511111215103,Candy & Sweets,test brand @1595340086791,,TEST BRANDCODE @1595340086791,Cogs,5332fa12e4b03c9a25efd1e7
149,5d642dbfa3a018514994f42e,511111005148,Magazines,Shape,,511111005148,Cogs,5d5d4fd16d5f3b23d1bc7905
150,5e3875d2ee7f2d697e835bce,511111013914,Beauty,Essie,,ESSIE,Cogs,5e28b81cee7f2d697e835bcd
151,5332f9f3e4b03c9a25efd1c9,511111303220,,Pop-tarts,,,Cpgs,5332f5f2e4b03c9a25efd0aa
152,5c45f91b87ff3552f950f027,511111204923,Grocery,Brand1,1.0,0987654321,Cogs,5c45f8b087ff3552f950f026
153,58861c7d4e8d0d20bc42c4d6,511111601449,Snacks,Jell-O Refrigerated Pudding & Gelatin,0.0,,Cogs,559c2234e4b06aca36af13c6
